Variable,Definitions
ACTBUS          ,Total value of actively managed business(es)
AGE             ,Age of head of household
AGECL           ,Age group of the head of household
ANYPEN          ,Pension exists for either head of household or spouse
ASSET           ,Total value of assets held by household
ASSETCAT        ,Asset percentile groups
BCALL           ,Information used for borrowing decisions: call around
BDONT           ,Information used for borrowing decisions: never borrow
BFINPLAN        ,"Information used for borrowing decisions: lawyer, accountant, financial planner"
BFINPRO         ,"Information used for borrowing decisions: banker, broker, real estate broker, builder, dealer, insurance agent"
BFRIENDWORK     ,"Information used for borrowing decisions: friends, material from work/business contacts"
BINTERNET       ,Information used for borrowing decisions: internet/online service
BMAGZNEWS       ,"Information used for borrowing decisions: magazines, newspapers, books"
BMAILADTV       ,"Information used for borrowing decisions: material in mail, tv, radio, advertisements, telemarketer"
BOND            ,Total value of directly held bonds held by household
BOTHER          ,Information used for borrowing decisions: other sources
BSELF           ,"Information used for borrowing decisions: self, shop around, other personal research"
BSHOPGRDL       ,Shopping for borrowing and credit: great deal of shopping
BSHOPMODR       ,Shopping for borrowing and credit: moderate shopping
BSHOPNONE       ,Shopping for borrowing and credit: almost no shopping
BUS             ,Total value of business(es) in which the household has either an active or nonactive interest
BUSSEFARMINC    ,"Income from business, sole proprietorship, and farm"
BUSVEH          ,Household has vehicle(s) owned by business
CALL            ,Total value of call accounts held by household
CANTMANG        ,Why no checking account: can't manage/balance a checking account
CASHLI          ,Total cash value of whole life insurance held by household
CCBAL           ,Total value of credit card balances held by household
CDS             ,Total value of certificates of deposit held by household
CHECKING        ,Total value of checking accounts held by household
CKCONNECTN      ,Why chose main checking account institution: connection through work/school
CKCONVPAYRL     ,"Why chose main checking account institution: other convenience, payroll deduction/direct deposit"
CKLOCATION      ,Why chose main checking account institution: location of their offices
CKLONGTIME      ,"Why chose main checking account institution: always done business there, banked there a long time"
CKLOWFEEBAL     ,Why chose main checking account institution: had the lowest fees/minimum balance requirement
CKMANYSVCS      ,Why chose main checking account institution: able to obtain many services at one place
CKOTHCHOOSE     ,Why chose main checking account institution: other reason
CKPERSONAL      ,Why chose main checking account institution: personal relationship
CKRECOMFRND     ,"Why chose main checking account institution: recommended, friend/family has account there"
CKSAFETY        ,Why chose main checking account institution: offered safety and absence of risk
CREDIT          ,"Why no checking account: credit problems, bankruptcy, does not meet qualifications for an account"
DEBT            ,Total value of debt held by household
DEQ             ,"Total value of equity in directly held stocks, stock mutual funds, and combination mutual funds held by household"
DONTLIKE        ,Why no checking account: don't like dealing with banks
DONTWANT        ,Why no checking account: does not want/need a checking account
DONTWRIT        ,Why no checking account: don’t write enough checks to make it worthwhile
EDCL            ,Education category of head of household
EDN_INST        ,Total value of education loans held by household
EDUC            ,Total number of years of education that have been completed by head of household
FAMSTRUCT,Family structure of household
EQUITY          ,Total value of financial assets held by household that are invested in stock
FIN             ,Total value of financial assets held by household 
HBUS,Have active or nonactively managed business(es)
HDEBT           ,Household has any debt
HELOC           ,Total value of home equity lines of credit secured by the primary residence held by the household
HELOC_YN        ,Currently borrowing on home equity line of credit
HEXTRACT_EVER   ,Extracted equity from mortgage refinancing
HLIQ            ,"Household has any checking, savings, money market or call accounts"
HMORT2          ,Have junior lien mortgage not used for purchase of primary residence
HOMEEQ          ,Total value of equity in primary residence of household
HOUSECL         ,Home-ownership category of household
HOUSES          ,Total value of primary residence of household
HPRIM_MORT      ,Have first lien mortgage on primary residence
HSEC_MORT       ,Have junior lien mortgage on primary residence
ICALL           ,Information used for investing decisions: call around
IDONT           ,Information used for investing decisions: never borrow
IFINPLAN        ,"Information used for investing decisions: lawyer, accountant, financial planner"
IFINPRO         ,"Information used for investing decisions: banker, broker, real estate broker, builder, dealer, insurance agent"
IFRIENDWORK     ,"Information used for investing decisions: friends, material from work/business contacts"
IINTERNET       ,Information used for investing decisions: internet/online service
IMAGZNEWS       ,"Information used for investing decisions: magazines, newspapers, books"
IMAILADTV       ,"Information used for investing decisions: material in mail, tv, radio, advertisements, telemarketer"
INCCAT          ,Income percentile groups
INCOME          ,Total amount of income of household
INCONV          ,Why no checking account: no bank has convenient hours or location
INSTALL         ,Total value of installment loans held by household
INTDIVINC       ,Interest (taxable and nontaxable) and dividend income
INTERNET        ,Do business with financial institution via the Internet
IOTHER          ,Information used for investing decisions: other sources
ISELF           ,"Information used for investing decisions: self, shop around, other personal research"
ISHOPGRDL       ,Shopping for saving and investments: great deal of shopping
ISHOPMODR       ,Shopping for saving and investments: moderate shopping
ISHOPNONE       ,Shopping for saving and investments: almost no shopping
KGBUS           ,Unrealized capital gains or losses on businesses
KGHOUSE         ,Unrealized capital gains or losses on the primary residence
KGINC           ,Capital gain or loss income
KGORE           ,Unrealized capital gains or losses on other real estate
KGSTMF          ,Unrealized capital gains or losses on stocks and mutual funds
KGTOTAL         ,Total unrealized capital gains or losses for the household
KIDS            ,Total number of children in household
LATE60          ,Household had any debt payments more than 60 days past due in last year
LIQ             ,Total value of all types of transactions accounts
LLOAN1          ,Total balance of household loans where the lender is a commercial bank
LLOAN2          ,Total balance of household loans where the lender is saving and loan
LLOAN3          ,Total balance of household loans where the lender is credit union
LLOAN4          ,"Total balance of household loans where the lender is finance, loan or leasing company, or inc debt consolidator"
